,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Temp,Wind Speed
32,Hermanus,0,ZA,1535087663,91,-34.42,19.24,34.73,34.73,3.49
33,Souillac,75,FR,1535086800,88,45.6,-0.6,64.4,63.41,6.93
34,Kapaa,40,US,1535086380,84,22.08,-159.32,80.06,80.06,21.92
35,Lebu,92,ET,1535087907,82,8.96,38.73,59.03,59.03,3.71
36,Plant City,75,US,1535087700,100,28.02,-82.12,84.92,79.93,3.49
37,Esperance,20,TT,1535086800,100,10.24,-61.45,75.2,75.2,5.17
38,Bredasdorp,0,ZA,1535083200,93,-34.53,20.04,39.2,39.2,7.18
39,Ushuaia,44,AR,1535087668,89,-54.81,-68.31,35.18,35.18,10.31
40,Nelson Bay,75,AU,1535086800,49,-32.72,152.14,68.0,68.0,12.75
41,Jamestown,64,AU,1535087555,39,-33.21,138.6,60.56,60.56,12.66
42,Morondava,0,MG,1535088400,77,-20.3,44.28,76.31,76.31,3.38
43,Albany,1,US,1535086440,75,42.65,-73.75,60.98,55.45,2.37
44,Hithadhoo,44,MV,1535087882,100,-0.6,73.08,79.91,79.91,2.93
45,Muskogee,1,US,1535086500,93,35.75,-95.37,78.08,74.53,11.41
46,Port Augusta,48,AU,1535083200,42,-32.49,137.76,66.2,66.2,18.34
47,Tuktoyaktuk,75,CA,1535086800,81,69.44,-133.03,44.6,44.6,9.17
48,Sao Joao da Barra,0,BR,1535087915,96,-21.64,-41.05,73.88,73.88,20.71
49,Broome,0,GB,1535086560,87,52.47,1.45,50.0,49.06,11.41
50,Mar del Plata,0,AR,1535087585,68,-46.43,-67.52,37.7,37.7,13.0
51,Faanui,64,PF,1535087663,100,-16.48,-151.75,78.74,78.74,18.48
52,Boa Vista,0,BR,1535086800,88,2.82,-60.67,78.8,78.8,3.36
53,Saldanha,0,PT,1535087865,89,41.42,-6.55,54.35,54.35,3.71
54,Castro,44,CL,1535087860,94,-42.48,-73.76,34.1,34.1,3.04
55,Tuatapere,32,NZ,1535088403,100,-46.13,167.69,46.79,46.79,11.43
56,Nikolskoye,0,RU,1535085000,77,59.7,30.79,59.0,59.0,6.71
57,Batagay-Alyta,80,RU,1535088403,86,67.8,130.41,48.59,48.59,8.75
58,Comodoro Rivadavia,0,AR,1535083200,42,-45.87,-67.48,44.6,44.6,10.29
59,Mataura,88,NZ,1535087664,82,-46.19,168.86,46.61,46.61,10.65
60,Yulara,40,AU,1535083200,37,-25.24,130.99,66.2,66.2,16.11
61,Hualmay,36,PE,1535088404,98,-11.1,-77.61,51.47,51.47,4.61
62,New Norfolk,75,AU,1535085000,54,-42.78,147.06,57.2,57.2,9.17
63,Ribeira Grande,32,PT,1535087904,100,38.52,-28.7,73.7,73.7,9.42
64,Dikson,0,RU,1535087843,76,73.51,80.55,54.44,54.44,11.54
65,Shiozawa,56,JP,1535088405,50,37.03,138.85,93.14,93.14,9.64
66,Pimentel,0,BR,1535088405,74,-3.7,-45.5,75.5,75.5,4.94
67,Aykhal,88,RU,1535087934,94,65.95,111.51,52.82,52.82,7.74
68,Kisangani,92,CD,1535088405,100,0.52,25.21,69.38,69.38,2.82
69,Dakoro,0,NE,1535088406,92,14.51,6.76,70.82,70.82,10.54
70,Popondetta,88,PG,1535088406,98,-8.77,148.24,71.63,71.63,2.15
71,Kargil,24,PK,1535088406,69,34.56,76.13,43.91,43.91,1.59
72,Medvezhyegorsk,0,RU,1535088406,93,62.92,34.47,57.59,57.59,3.38
73,Avarua,40,CK,1535083200,69,-21.21,-159.78,77.0,77.0,5.82
74,Cabo San Lucas,20,MX,1535082540,69,22.89,-109.91,82.4,82.4,5.82
75,Bom Jesus dos Perdoes,0,BR,1535086800,93,-23.14,-46.47,71.6,65.68,2.24
76,Maragheh,0,IR,1535083200,40,37.39,46.24,69.8,69.8,16.11
77,Auki,76,NG,1535087883,96,12.18,6.51,70.19,70.19,7.74
78,Georgetown,44,GY,1535087879,91,6.8,-58.16,75.68,75.68,3.94
79,Torbay,90,CA,1535086800,94,47.66,-52.73,69.8,69.8,19.46
80,Lagoa,0,PT,1535085000,47,37.14,-8.45,77.0,77.0,3.36
81,Biharamulo,92,TZ,1535088408,100,-2.64,31.31,63.26,63.26,4.05
82,Bluff,68,AU,1535087868,24,-23.58,149.07,79.1,79.1,8.86
83,Umm Kaddadah,64,SD,1535087909,99,13.6,26.69,69.65,69.65,8.97
84,San Quintin,90,PH,1535086800,94,17.54,120.52,77.0,77.0,9.17
85,Khatanga,0,RU,1535087859,75,71.98,102.47,62.72,62.72,10.76
86,Hilo,90,US,1535083680,93,19.71,-155.08,78.08,78.08,6.93
87,Cape Town,0,ZA,1535087815,100,-33.93,18.42,49.67,49.67,5.84
88,Buala,56,SB,1535087981,100,-8.15,159.59,79.37,79.37,3.15
89,Hasaki,75,JP,1535086800,66,35.73,140.83,87.8,87.08,20.8
90,Puerto Ayora,88,EC,1535087869,100,-0.74,-90.35,70.01,70.01,12.77
91,Pine Bluff,1,US,1535086560,87,34.23,-92.0,71.96,70.34,6.93
92,Luchegorsk,92,RU,1535088410,69,46.44,134.3,76.67,76.67,3.94
93,Saint Anthony,1,US,1535086560,25,43.97,-111.68,69.98,64.63,10.29
94,Andijan,20,UZ,1535085000,26,40.76,72.37,82.4,82.4,4.7
95,Pangnirtung,100,CA,1535087557,75,66.15,-65.72,44.72,44.72,27.87
96,Denpasar,20,ID,1535086800,58,-8.65,115.22,82.4,82.4,13.87
97,Nishihara,75,JP,1535086800,70,35.74,139.53,87.8,85.96,17.22
98,Samarai,48,PG,1535088412,99,-10.62,150.67,77.93,77.93,15.68
99,Namibe,80,AO,1535087948,100,-15.19,12.15,64.07,64.07,2.15
100,Batemans Bay,80,AU,1535088412,100,-35.71,150.18,51.65,51.65,3.71
101,Mahibadhoo,56,MV,1535088413,100,3.78,72.97,82.07,82.07,10.09
102,Saskylakh,0,RU,1535087844,89,71.97,114.09,55.16,55.16,4.72
103,Copala,64,MX,1535088413,99,16.61,-98.97,72.26,72.26,3.04
104,Saint-Pierre,0,FR,1535086800,93,48.95,4.24,57.2,56.39,6.93
105,Avera,1,US,1535087700,86,33.19,-82.53,75.02,70.25,3.36
106,Kodiak,90,US,1535086380,97,39.95,-94.76,69.98,69.98,9.17
107,Ponta do Sol,76,BR,1535087859,69,-20.63,-46.0,66.5,66.5,4.72
108,Ketchikan,40,US,1535086560,83,55.34,-131.65,62.06,58.66,8.05
109,Luderitz,0,NA,1535087872,91,-26.65,15.16,48.32,48.32,9.53
110,Tahe,0,CN,1535088415,53,52.34,124.71,78.56,78.56,3.38
111,Victoria,75,BN,1535085000,66,5.28,115.24,91.4,89.62,5.82
112,Los Llanos de Aridane,8,ES,1535086800,83,28.66,-17.92,71.6,71.6,10.29
113,Lazaro Cardenas,92,MX,1535088416,74,28.39,-105.62,75.23,75.23,3.04
114,Carnarvon,0,ZA,1535087665,67,-30.97,22.13,26.36,26.36,3.15
115,Ballina,75,IE,1535086800,100,54.11,-9.15,46.4,46.4,8.05
116,Broken Hill,80,AU,1535088416,39,-31.97,141.45,61.46,61.46,16.46
117,Pangoa,20,PE,1535088416,90,-12.12,-73.0,59.84,59.84,2.37
118,Arraial do Cabo,8,BR,1535087880,91,-22.97,-42.02,71.54,71.54,18.92
119,Lahij,0,YE,1535088417,55,13.06,44.88,88.82,88.82,3.38
120,Raudeberg,75,NO,1535086200,93,61.99,5.14,51.8,50.59,6.93
121,Bethel,40,US,1535086380,85,60.79,-161.76,53.06,53.06,13.87
122,Atasu,88,KZ,1535087902,87,48.68,71.64,64.16,64.16,11.65
123,Grindavik,20,IS,1535086800,93,63.84,-22.43,44.6,42.71,8.05
124,Caravelas,92,BR,1535087911,100,-17.73,-39.27,75.59,75.59,9.98
125,Utete,88,TZ,1535088418,69,-7.99,38.76,77.66,77.66,3.38
126,Bulgan,92,MN,1535088419,83,48.81,103.53,62.72,62.72,3.27
127,Husavik,44,CA,1535088419,82,50.56,-96.99,70.46,70.46,7.63
128,Caraquet,75,CA,1535086800,59,47.79,-64.94,62.6,62.6,10.29
129,Matay,0,EG,1535088420,67,28.42,30.79,79.19,79.19,11.32
130,Celestun,24,MX,1535087908,99,20.87,-90.4,82.79,82.79,11.54
131,Norman Wells,90,CA,1535086800,87,65.28,-126.83,46.4,46.4,4.7
132,Tayu,75,JP,1535086800,83,35.06,136.67,84.2,84.2,24.16
133,Gravdal,75,NO,1535086200,93,59.79,5.78,53.6,53.6,5.82
134,Portland,75,US,1535086560,57,45.52,-122.67,64.94,62.28,11.41
135,Nanortalik,92,GL,1535087894,99,60.14,-45.24,41.57,41.57,20.15
136,Port Hardy,20,CA,1535086800,76,50.7,-127.42,55.4,55.4,6.93
137,Touros,48,BR,1535088421,90,-5.2,-35.46,74.69,74.69,13.67
138,Zavodouspenskoye,90,RU,1535085000,93,56.86,65.02,51.8,51.8,11.18
139,Saint-Philippe,1,CA,1535086500,79,45.36,-73.48,68.0,65.57,5.82
140,Pevek,88,RU,1535087939,100,69.7,170.27,38.96,38.96,12.21
141,Nantucket,1,US,1535087700,96,41.28,-70.1,60.98,57.4,10.87
142,Klaksvik,68,FO,1535086200,87,62.23,-6.59,48.2,48.2,10.29
143,Abiramam,75,IN,1535086800,49,9.44,78.44,89.6,89.6,5.82
144,Yellowknife,75,CA,1535086800,61,62.45,-114.38,50.0,50.0,4.7
145,Ahipara,68,NZ,1535087963,88,-35.17,173.16,53.81,53.81,15.23
146,Dingle,24,PH,1535087933,75,11.0,122.67,85.04,85.04,9.42
147,Carhuamayo,80,PE,1535088423,100,-10.92,-76.06,39.14,39.14,2.59
148,Kavieng,32,PG,1535087864,100,-2.57,150.8,83.42,83.42,3.6
149,Bathsheba,40,BB,1535083200,74,13.22,-59.52,80.6,80.6,17.22
150,Iqaluit,90,CA,1535086800,100,63.75,-68.52,37.4,37.4,18.34
151,Cacule,56,BR,1535088424,92,-14.5,-42.22,62.9,62.9,8.97
152,Muhlhausen,40,DE,1535086200,77,51.22,10.45,64.4,64.4,4.7
153,Port Elizabeth,1,US,1535086560,96,39.31,-74.98,69.98,64.45,3.36
154,Roald,75,NO,1535086200,87,62.58,6.12,51.8,50.54,8.05
155,Mogadishu,8,SO,1535087981,99,2.04,45.34,77.03,77.03,14.67
156,Turiacu,32,BR,1535088425,97,-5.01,-63.0,72.44,72.44,2.59
157,Ponta Delgada,40,PT,1535086800,68,37.73,-25.67,69.8,69.8,5.82
158,Bayir,0,TR,1535086200,78,37.27,28.22,71.6,71.6,2.24
159,Kahului,75,US,1535086560,96,20.89,-156.47,78.8,75.96,19.46
160,Mildura,36,AU,1535088426,56,-34.18,142.16,62.18,62.18,9.19
161,Bougouni,64,ML,1535088426,99,11.42,-7.49,70.19,70.19,3.15
162,Flin Flon,36,CA,1535087924,67,54.77,-101.88,53.81,53.81,6.62
163,Kungurtug,24,RU,1535088427,69,50.6,97.53,58.13,58.13,3.49
164,Severo-Kurilsk,48,RU,1535087894,100,50.68,156.12,52.01,52.01,3.6
165,Northam,40,GB,1535086200,87,51.04,-4.21,53.6,53.6,4.7
166,Kruisfontein,0,ZA,1535087930,100,-34.0,24.73,52.01,52.01,10.31
167,Koumac,8,NC,1535087895,62,-20.56,164.28,74.69,74.69,6.17
168,Rio Grande,48,BR,1535087882,97,-32.03,-52.1,54.71,54.71,11.21
169,Airai,56,TL,1535087895,48,-8.93,125.41,83.42,83.42,0.92
170,Cascais,20,PT,1535086800,93,38.7,-9.42,66.2,65.32,12.75
171,Eureka,90,US,1535086500,100,40.8,-124.16,55.94,55.67,4.38
172,Pionerskiy,100,RU,1535088429,99,61.2,62.86,56.78,56.78,5.5
173,Huarmey,20,PE,1535087857,89,-10.07,-78.15,52.28,52.28,3.71
174,Kapit,48,MY,1535088429,73,2.02,112.94,86.39,86.39,2.82
175,Aklavik,90,CA,1535086800,81,68.22,-135.01,44.6,44.6,5.82
176,Ewa Beach,20,US,1535086380,64,21.32,-158.01,80.96,80.96,11.41
177,York,32,GB,1535086200,81,53.96,-1.08,51.8,50.0,9.17
178,Sassandra,92,CI,1535088430,97,4.95,-6.09,72.8,72.8,5.84
179,Klyuchi,0,RU,1535088431,41,52.25,79.17,81.17,81.17,9.86
180,Killybegs,92,IE,1535088431,100,54.63,-8.45,53.54,53.54,16.91
181,Ha Tinh,76,VN,1535088431,97,18.33,105.9,85.94,85.94,10.98
182,Brazzaville,0,CD,1535086800,82,-4.27,15.27,71.6,69.87,1.12
183,Port Blair,92,IN,1535087883,100,11.67,92.75,80.18,80.18,22.84
184,Faya,0,SA,1535083200,40,18.39,42.45,73.4,73.4,3.71
185,Sulangan,32,PH,1535088432,95,11.14,123.72,85.67,85.67,15.79
186,Ruiz,8,MX,1535088432,92,21.95,-105.15,73.52,73.52,0.58
187,Abu Kamal,0,SY,1535088432,34,34.45,40.92,89.45,89.45,8.63
188,Kiunga,92,PG,1535088433,83,-6.12,141.3,79.91,79.91,2.71
189,Bhadrak,80,IN,1535088433,84,21.06,86.51,88.01,88.01,9.42
190,San Carlos de Bariloche,20,AR,1535083200,55,-41.13,-71.31,33.8,33.8,12.75
191,Holbaek,48,DK,1535086200,100,55.72,11.72,66.2,63.72,10.29
192,Pangody,20,RU,1535088434,54,65.85,74.49,69.29,69.29,8.63
193,Puerto del Rosario,20,ES,1535086800,88,28.5,-13.86,71.6,70.79,6.93
194,Rio Claro,0,BR,1535088203,75,-22.41,-47.56,60.83,60.83,2.59
195,Prince Rupert,90,CA,1535086800,87,54.32,-130.32,57.2,57.2,2.15
196,Moskovskoye,0,RU,1535085000,63,45.29,41.92,66.2,66.2,17.9
197,Harlingen,20,US,1535086500,91,26.19,-97.7,84.92,82.67,8.05
198,Oropoli,40,HN,1535086800,77,13.82,-86.82,68.0,68.0,5.82
199,Pacific Grove,75,US,1535086500,74,36.62,-121.92,62.06,60.76,4.7
200,Leningradskiy,92,RU,1535087658,94,69.38,178.42,40.22,40.22,4.05
201,Sao Felix do Xingu,0,BR,1535087856,76,-6.64,-51.99,73.25,73.25,2.15
202,Port Moresby,40,PG,1535086800,74,-9.47,147.16,84.2,84.2,20.8
203,Upernavik,64,GL,1535087862,92,72.79,-56.15,41.39,41.39,7.4
204,Taoudenni,0,ML,1535088436,30,22.68,-3.98,76.31,76.31,2.71
205,Narsaq,92,GL,1535082600,70,60.91,-46.05,44.6,44.6,3.36
206,Cheney,20,US,1535087160,29,47.49,-117.58,73.04,67.98,11.41
207,Thompson,75,CA,1535086800,74,55.74,-97.86,33.8,33.8,4.72
208,Tasiilaq,0,GL,1535086200,75,65.61,-37.64,41.0,41.0,3.36
209,Coihaique,0,CL,1535086800,69,-45.58,-72.07,33.8,33.8,2.24
210,Knittelfeld,12,AT,1535086200,93,47.21,14.83,60.8,59.2,1.12
211,Leshukonskoye,36,RU,1535088438,90,64.9,45.76,53.18,53.18,3.6
212,Bambous Virieux,40,MU,1535083200,69,-20.34,57.76,73.4,73.4,14.99
213,Moroni,0,US,1535088254,49,39.52,-111.59,49.31,49.31,4.16
214,Inuvik,90,CA,1535086800,81,68.36,-133.71,44.6,44.6,5.82
215,Kyren,88,RU,1535088438,92,51.68,102.13,53.81,53.81,2.37
216,Muros,90,ES,1535086800,100,42.77,-9.06,59.0,59.0,8.05
217,Lata,88,IN,1535087847,99,30.78,78.62,64.16,64.16,1.59
218,Cache Creek,90,CA,1535086800,45,50.81,-121.33,68.0,68.0,12.75
219,Kitimat,75,CA,1535086800,67,54.02,-128.69,59.0,59.0,9.17
220,Uulu,0,EE,1535086200,77,58.28,24.58,60.8,60.8,4.7
221,Russell,40,AR,1535083200,81,-33.01,-68.8,44.6,44.6,10.29
222,Otane,68,NZ,1535088441,86,-39.89,176.62,41.93,41.93,10.65
223,Rio Rancho,1,US,1535086500,68,35.27,-106.63,73.04,69.73,11.41
224,Shelburne,1,CA,1535086800,72,44.08,-80.2,66.2,62.58,5.82
225,Kirakira,36,SB,1535087929,100,-10.46,161.92,80.99,80.99,9.42
226,Sidney,1,US,1535086500,86,47.72,-104.16,60.8,59.97,10.09
227,Fort Nelson,90,CA,1535086800,100,58.81,-122.69,44.6,44.6,3.36
228,Imbituba,0,BR,1535086800,93,-28.24,-48.67,60.8,60.8,3.36
229,Evensk,0,RU,1535088443,84,61.92,159.24,57.59,57.59,8.52
230,Kihei,75,US,1535086560,96,20.76,-156.45,78.8,75.97,19.46
231,Matagami,92,NG,1535088444,98,9.67,8.4,65.51,65.51,1.81
232,Undory,0,RU,1535083200,72,54.61,48.39,59.0,59.0,6.71
233,Itupiranga,0,BR,1535083200,83,-5.13,-49.33,77.0,77.0,4.7
234,Tiksi,76,RU,1535087851,90,71.64,128.87,49.58,49.58,10.76
235,Hami,0,CN,1535088445,41,42.84,93.51,85.85,85.85,4.16
236,Wenling,80,CN,1535088445,95,28.38,121.38,83.33,83.33,17.13
237,Kurchanskaya,0,RU,1535085000,40,45.22,37.57,69.8,69.8,13.42
238,Buta,100,CD,1535088446,95,2.79,24.73,69.74,69.74,2.93
239,Vavuniya,64,LK,1535088446,57,8.76,80.5,90.89,90.89,5.17
240,Clyde River,90,CA,1535085900,100,70.47,-68.59,37.4,37.4,6.93
241,Constitucion,24,MX,1535088422,60,23.99,-104.67,64.52,64.52,4.16
242,Half Moon Bay,90,US,1535086800,87,37.46,-122.43,62.96,61.63,3.38
243,Lompoc,1,US,1535085300,82,34.64,-120.46,60.98,59.86,4.7
244,Chokurdakh,0,RU,1535087867,83,70.62,147.9,49.04,49.04,4.61
245,Say,20,NE,1535086800,74,13.1,2.36,80.6,80.6,4.7
246,San Julian,20,SV,1535086200,94,13.7,-89.56,71.6,70.74,4.7
247,Havoysund,40,NO,1535086200,87,71.0,24.66,50.0,48.78,5.82
248,Launceston,8,AU,1535086800,58,-41.43,147.14,57.2,57.2,11.41
249,Sumenep,0,ID,1535088448,89,-7.02,113.87,82.16,82.16,8.52
250,Itaituba,8,BR,1535087888,65,-4.26,-55.99,77.84,77.84,3.38
251,Bilma,0,NE,1535088449,42,18.69,12.92,76.94,76.94,4.72
252,Jinchang,100,CN,1535088449,63,38.52,102.19,69.02,69.02,4.72
253,Bar Harbor,1,US,1535086560,83,44.39,-68.2,57.02,56.55,3.36
254,Careiro da Varzea,0,BR,1535086800,94,-3.2,-59.81,75.2,74.52,3.27
255,Kanniyakumari,8,IN,1535088450,95,8.08,77.57,79.28,79.28,22.17
256,Marzuq,0,YE,1535088450,36,14.4,46.47,84.14,84.14,3.6
257,Oktyabrskoye,80,RU,1535088451,90,56.73,85.44,59.39,59.39,5.61
258,Maniitsoq,36,GL,1535088451,87,65.42,-52.9,39.59,39.59,5.39
259,Boyolangu,12,ID,1535088451,39,-8.09,111.9,89.99,89.99,6.17
260,Colares,20,PT,1535086800,93,38.8,-9.45,66.2,65.32,12.75
261,Mayumba,88,GA,1535088452,99,-3.44,10.65,70.91,70.91,5.61
262,Niono,0,ML,1535088452,89,14.25,-5.99,73.52,73.52,3.04
263,Shenzhen,75,CN,1535086800,70,22.54,114.05,89.6,88.38,6.71
264,Noumea,75,NC,1535086800,53,-22.28,166.46,73.4,73.4,13.87
265,Nalut,8,LY,1535088452,54,31.86,10.98,74.24,74.24,3.38
266,Huanren,92,CN,1535088453,100,41.26,125.37,67.94,67.94,2.59
267,Pitimbu,20,BR,1535083200,94,-7.47,-34.81,68.0,68.0,5.82
268,Ngaoundere,92,CM,1535088453,98,7.32,13.58,62.72,62.72,5.73
269,Guerrero Negro,0,MX,1535088453,98,27.97,-114.04,69.74,69.74,8.41
270,Pemba,0,MZ,1535088454,98,-12.97,40.52,78.56,78.56,6.51
271,Villa Juarez,20,MX,1535088454,91,27.13,-109.84,81.8,81.8,3.83
272,El Alto,0,BO,1535086800,33,-16.5,-68.19,30.2,30.2,2.24
273,Kandrian,92,PG,1535087978,97,-6.21,149.55,75.68,75.68,5.73
274,Fortuna,0,ES,1535086800,64,38.18,-1.13,69.8,69.8,4.7
275,Katsuura,40,JP,1535086800,52,33.93,134.5,93.2,93.2,18.34
276,Turukhansk,76,RU,1535087911,70,65.8,87.96,61.82,61.82,17.02
277,Vao,0,EE,1535087893,73,59.1,26.19,63.26,63.26,7.52
278,Dublin,20,IE,1535086800,81,53.35,-6.26,50.0,49.08,9.17
279,Valparaiso,1,US,1535087700,95,41.47,-87.06,69.08,60.66,9.64
280,Maiduguri,88,NG,1535088456,98,11.84,13.15,71.18,71.18,7.85
281,Tazovskiy,44,RU,1535087980,65,67.47,78.7,64.43,64.43,12.66
282,Argelia,75,CO,1535086800,77,4.73,-76.12,69.8,67.96,4.7
283,Oksfjord,0,NO,1535086200,76,70.24,22.35,51.8,50.85,3.36
284,Sivaki,0,RU,1535088458,57,52.63,126.75,80.45,80.45,4.61
285,Ilulissat,12,GL,1535086200,41,69.22,-51.1,42.8,42.8,8.05
286,Kharp,56,RU,1535088458,72,66.82,65.8,64.61,64.61,5.95
287,Wonosobo,44,ID,1535088458,44,-7.36,109.9,86.12,86.12,1.25
288,Sitka,56,US,1535088459,91,37.17,-99.65,68.39,68.39,7.85
289,Calabozo,44,VE,1535088459,94,8.92,-67.43,74.15,74.15,3.6
290,Barra,75,GM,1535086800,94,13.49,-16.54,75.2,75.2,3.36
291,Tomatlan,8,MX,1535088460,87,19.93,-105.25,76.22,76.22,1.92
292,Mareeba,20,AU,1535086800,47,-16.99,145.42,80.6,80.6,13.87
293,Chuy,80,UY,1535087898,93,-33.69,-53.46,48.68,48.68,8.97
294,Soyo,92,AO,1535087984,93,-6.13,12.37,69.92,69.92,3.71
295,Sao Filipe,88,CV,1535088461,100,14.9,-24.5,76.85,76.85,9.98
296,Cidreira,0,BR,1535088461,95,-30.17,-50.22,56.51,56.51,11.43
297,Moerai,68,PF,1535088461,100,-22.43,-151.33,73.43,73.43,12.77
298,Quatre Cocos,40,MU,1535083200,69,-20.21,57.76,73.4,73.4,14.99
299,Mahebourg,40,MU,1535083200,69,-20.41,57.7,73.4,73.4,14.99
300,Angoche,0,MZ,1535088271,97,-16.23,39.91,78.65,78.65,3.83
301,Muhos,64,FI,1535086200,87,64.81,26.0,50.0,50.0,9.17
302,Manggar,20,ID,1535088463,76,-2.88,108.27,86.12,86.12,12.21
303,Dukat,48,RS,1535088463,76,42.44,22.31,63.26,63.26,2.26
304,Byron Bay,90,AU,1535085000,56,-28.65,153.62,68.0,68.0,13.87
305,Union,1,US,1535086680,80,47.36,-123.1,62.96,59.22,13.87
306,Westport,75,IE,1535086800,100,53.8,-9.52,46.4,46.4,8.05
307,Marawi,56,PH,1535087990,99,8.0,124.29,73.61,73.61,2.71
308,Dryden,20,CA,1535086800,64,49.79,-92.84,69.8,69.8,2.24
309,Nouakchott,0,MR,1535088465,100,18.08,-15.98,79.64,79.64,10.98
310,Berea,1,US,1535086560,77,41.37,-81.85,66.92,60.13,4.7
311,College,90,US,1535086680,76,64.86,-147.8,59.36,58.8,3.04
312,Priboj,0,RS,1535086800,77,43.58,19.53,62.6,62.6,2.24
313,Fairbanks,90,US,1535086680,76,64.84,-147.72,59.36,58.8,3.04
314,Newport,8,GB,1535086200,100,51.59,-3.0,53.6,51.44,10.29
315,Balingasay,92,PH,1535088467,100,16.36,119.86,77.84,77.84,13.11
316,Palu,92,ID,1535088467,86,-0.9,119.87,72.71,72.71,1.81
317,Beyneu,0,KZ,1535088468,32,45.32,55.19,72.98,72.98,8.63
318,Saint George,20,GR,1535086200,56,39.45,22.34,69.8,69.8,0.81
319,Jacareacanga,20,BR,1535088468,92,-6.22,-57.76,74.06,74.06,2.15
320,Pavilosta,32,LV,1535086200,72,56.89,21.19,64.4,62.53,6.93
321,Yerbogachen,88,RU,1535087944,73,61.28,108.01,60.11,60.11,6.17
322,Bad Reichenhall,75,DE,1535086200,88,47.72,12.88,62.6,62.6,8.05
323,Omboue,92,GA,1535087937,100,-1.57,9.26,73.07,73.07,7.52
324,Mombetsu,75,JP,1535086800,88,44.35,143.35,62.6,62.6,9.17
325,Padang,12,ID,1535088470,100,-0.92,100.36,82.61,82.61,10.65
326,Kaeo,0,NZ,1535088470,63,-35.1,173.78,52.01,52.01,13.0
327,Karratha,0,AU,1535087905,11,-20.74,116.85,79.91,79.91,12.44
328,Khartoum,0,SD,1535086800,58,15.59,32.54,84.2,84.2,11.41
329,Charagua,0,BO,1535088471,61,-19.79,-63.2,69.2,69.2,11.54
330,Shambu,80,ET,1535088471,99,9.57,37.1,59.3,59.3,2.48
331,Thinadhoo,76,MV,1535088472,100,0.53,72.93,82.07,82.07,7.96
332,Paidha,56,UG,1535088472,97,2.42,30.99,67.31,67.31,0.92
333,Kolokani,0,ML,1535088472,95,13.58,-8.03,67.49,67.49,3.27
334,Petropavlovsk-Kamchatskiy,20,RU,1535085000,67,53.05,158.65,62.6,62.6,8.95
335,Coquimbo,0,CL,1535086800,81,-29.95,-71.34,46.4,46.4,6.93
336,Deputatskiy,44,RU,1535088473,71,69.3,139.9,55.07,55.07,3.94
337,Berlevag,75,NO,1535086200,93,70.86,29.09,50.0,50.0,2.24
